title,id,name,price,review_count,link

여성패션,1080574984,"프로스펙스 남성용 중목 스포츠 파일 양말 5족 M19, 차콜",14500,511,https://www.coupang.com/vp/products/339180825?itemId=1080574984&vendorItemId=5581565673&sourceType=CATEGORY&categoryId=186664

여성패션,3354566111,베이스알파에센셜 엑스트라히트 여성용 흡습 발열내의 세트,13490,436,https://www.coupang.com/vp/products/1972170412?itemId=3354566111&vendorItemId=71341330429&sourceType=CATEGORY&categoryId=186664

여성패션,5113248408,루이 김서림방지 안경클리너,17000,2456,https://www.coupang.com/vp/products/4354477637?itemId=5113248408&vendorItemId=76115067913&sourceType=CATEGORY&categoryId=186664

여성패션,475814082,롸잇나우 LA워싱 야구모자,13200,2418,https://www.coupang.com/vp/products/166056378?itemId=475814082&vendorItemId=4193277549&sourceType=CATEGORY&categoryId=186664

여성패션,351538206,두발로 여성용 자물쇠 페이크삭스 양말 10켤레,8900,1096,https://www.coupang.com/vp/products/117598286?itemId=351538206&vendorItemId=3834380487&sourceType=CATEGORY&categoryId=186664

여성패션,856704205,노디자인 여성용 숙녀 무지 니삭스 무지 반장 양말 5족 세트,13900,816,https://www.coupang.com/vp/products/272190593?itemId=856704205&vendorItemId=5174265540&sourceType=CATEGORY&categoryId=186664

여성패션,1092861294,베이스알파에센셜 여성용 페이크삭스 13켤레,9380,5675,https://www.coupang.com/vp/products/343999726?itemId=1092861294&vendorItemId=5609057152&sourceType=CATEGORY&categoryId=186664

여성패션,4917374,프리지아 알로에 임부팬티 5매입,13900,5209,https://www.coupang.com/vp/products/1140572?itemId=4917374&vendorItemId=3006072201&sourceType=CATEGORY&categoryId=186664

여성패션,11941283336,베이스알파 에센셜 여성용 탁텔 소프트 이지 레그 워머 토시 2켤레,7890,20,https://www.coupang.com/vp/products/6159174460?itemId=11941283336&vendorItemId=79213976842&sourceType=CATEGORY&categoryId=186664

여성패션,450789485,"타이트엔드 후디 기모 넥워머, 블랙",10350,2281,https://www.coupang.com/vp/products/153709569?itemId=450789485&vendorItemId=4116540779&sourceType=CATEGORY&categoryId=186664

